Zone,Country,ISO3,Year, Population , PCDEA , MDI , PIMII ,Fortification
WCANA,Afghanistan,AFG,1961," 8,954,000 "," 2,997 ", 0.77 , 25.42 ,0
WCANA,Afghanistan,AFG,1962," 9,142,000 "," 2,917 ", 0.78 , 25.79 ,0
WCANA,Afghanistan,AFG,1963," 9,340,000 "," 2,697 ", 0.80 , 26.73 ,0
WCANA,Afghanistan,AFG,1964," 9,547,000 "," 2,953 ", 0.79 , 24.03 ,0
WCANA,Afghanistan,AFG,1965," 9,765,000 "," 2,957 ", 0.79 , 23.10 ,0
WCANA,Afghanistan,AFG,1966," 9,990,000 "," 2,737 ", 0.82 , 23.07 ,0
WCANA,Afghanistan,AFG,1967," 10,222,000 "," 2,970 ", 0.81 , 20.61 ,0
WCANA,Afghanistan,AFG,1968," 10,466,000 "," 2,918 ", 0.82 , 20.55 ,0
WCANA,Afghanistan,AFG,1969," 10,729,000 "," 2,937 ", 0.82 , 20.35 ,0
WCANA,Afghanistan,AFG,1970," 11,016,000 "," 2,533 ", 0.82 , 25.37 ,0
WCANA,Afghanistan,AFG,1971," 11,323,000 "," 2,510 ", 0.82 , 26.53 ,0
WCANA,Afghanistan,AFG,1972," 11,644,000 "," 2,659 ", 0.80 , 26.19 ,0
WCANA,Afghanistan,AFG,1973," 11,966,000 "," 2,721 ", 0.80 , 25.06 ,0
WCANA,Afghanistan,AFG,1974," 12,274,000 "," 2,713 ", 0.80 , 25.30 ,0
WCANA,Afghanistan,AFG,1975," 12,552,000 "," 2,755 ", 0.80 , 25.48 ,0
WCANA,Afghanistan,AFG,1976," 12,807,000 "," 2,824 ", 0.80 , 23.79 ,0
WCANA,Afghanistan,AFG,1977," 13,034,000 "," 2,486 ", 0.80 , 30.29 ,0
WCANA,Afghanistan,AFG,1978," 13,200,000 "," 2,619 ", 0.80 , 26.98 ,0
WCANA,Afghanistan,AFG,1979," 13,257,000 "," 2,621 ", 0.80 , 27.01 ,0
WCANA,Afghanistan,AFG,1980," 13,180,000 "," 2,480 ", 0.81 , 27.86 ,0
WCANA,Afghanistan,AFG,1981," 12,964,000 "," 2,483 ", 0.81 , 27.63 ,0
WCANA,Afghanistan,AFG,1982," 12,634,000 "," 2,478 ", 0.82 , 26.52 ,0
WCANA,Afghanistan,AFG,1983," 12,242,000 "," 2,527 ", 0.82 , 25.62 ,0
WCANA,Afghanistan,AFG,1984," 11,854,000 "," 2,453 ", 0.82 , 26.16 ,0
WCANA,Afghanistan,AFG,1985," 11,529,000 "," 2,403 ", 0.82 , 28.07 ,0
WCANA,Afghanistan,AFG,1986," 11,262,000 "," 2,397 ", 0.80 , 31.08 ,0
WCANA,Afghanistan,AFG,1987," 11,063,000 "," 2,725 ", 0.79 , 26.35 ,0
WCANA,Afghanistan,AFG,1988," 11,013,000 "," 2,519 ", 0.81 , 27.17 ,0
WCANA,Afghanistan,AFG,1989," 11,215,000 "," 2,461 ", 0.81 , 28.55 ,0
WCANA,Afghanistan,AFG,1990," 11,731,000 "," 2,315 ", 0.83 , 27.20 ,0
WCANA,Afghanistan,AFG,1991," 12,612,000 "," 2,043 ", 0.85 , 31.08 ,0
WCANA,Afghanistan,AFG,1992," 13,812,000 "," 1,890 ", 0.85 , 35.64 ,0
WCANA,Afghanistan,AFG,1993," 15,175,000 "," 1,908 ", 0.85 , 34.94 ,0
WCANA,Afghanistan,AFG,1994," 16,485,000 "," 1,821 ", 0.86 , 36.09 ,0
WCANA,Afghanistan,AFG,1995," 17,586,000 "," 1,844 ", 0.85 , 38.24 ,0
WCANA,Afghanistan,AFG,1996," 18,415,000 "," 1,841 ", 0.86 , 35.96 ,0
WCANA,Afghanistan,AFG,1997," 19,021,000 "," 1,874 ", 0.87 , 33.78 ,0
WCANA,Afghanistan,AFG,1998," 19,497,000 "," 1,901 ", 0.87 , 32.64 ,0
WCANA,Afghanistan,AFG,1999," 19,987,000 "," 1,850 ", 0.89 , 31.18 ,0
WCANA,Afghanistan,AFG,2000," 20,595,000 "," 1,789 ", 0.86 , 37.78 ,0
WCANA,Afghanistan,AFG,2001," 21,348,000 "," 1,739 ", 0.85 , 41.97 ,0
WCANA,Afghanistan,AFG,2002," 22,203,000 "," 1,825 ", 0.85 , 38.00 ,0
WCANA,Afghanistan,AFG,2003," 23,116,000 "," 1,892 ", 0.85 , 36.36 ,0
WCANA,Afghanistan,AFG,2004," 24,019,000 "," 1,965 ", 0.82 , 37.87 ,0
WCANA,Afghanistan,AFG,2005," 24,861,000 "," 1,944 ", 0.83 , 38.11 ,0
WCANA,Afghanistan,AFG,2006," 25,631,000 "," 1,964 ", 0.82 , 38.94 ,0
WCANA,Afghanistan,AFG,2007," 26,349,000 "," 2,047 ", 0.81 , 37.19 ,0
WCANA,Afghanistan,AFG,2008," 27,032,000 "," 2,038 ", 0.81 , 37.05 ,0
WCANA,Afghanistan,AFG,2009," 27,708,000 "," 2,081 ", 0.82 , 35.36 ,0
WCANA,Afghanistan,AFG,2010," 28,398,000 "," 2,102 ", 0.82 , 35.30 ,0
WCANA,Afghanistan,AFG,2011," 29,105,000 "," 2,106 ", 0.81 , 35.63 ,0
WCANA,Afghanistan,AFG,2011," 29,105,000 "," 2,106 ", 0.82 , 34.14 ,1
Subsaharan Africa,Angola,AGO,1961," 5,057,000 "," 1,794 ", 0.80 , 48.84 ,0
Subsaharan Africa,Angola,AGO,1962," 5,150,000 "," 1,814 ", 0.82 , 46.76 ,0
Subsaharan Africa,Angola,AGO,1963," 5,245,000 "," 1,848 ", 0.82 , 44.84 ,0
Subsaharan Africa,Angola,AGO,1964," 5,340,000 "," 1,859 ", 0.85 , 41.67 ,0
Subsaharan Africa,Angola,AGO,1965," 5,434,000 "," 1,873 ", 0.84 , 43.25 ,0
Subsaharan Africa,Angola,AGO,1966," 5,527,000 "," 1,889 ", 0.85 , 40.42 ,0
Subsaharan Africa,Angola,AGO,1967," 5,620,000 "," 1,918 ", 0.86 , 37.80 ,0
Subsaharan Africa,Angola,AGO,1968," 5,715,000 "," 1,852 ", 0.87 , 39.90 ,0
Subsaharan Africa,Angola,AGO,1969," 5,817,000 "," 1,946 ", 0.85 , 38.46 ,0
Subsaharan Africa,Angola,AGO,1970," 5,928,000 "," 1,965 ", 0.86 , 36.78 ,0
Subsaharan Africa,Angola,AGO,1971," 6,049,000 "," 1,999 ", 0.85 , 36.52 ,0
Subsaharan Africa,Angola,AGO,1972," 6,181,000 "," 1,957 ", 0.82 , 41.67 ,0
Subsaharan Africa,Angola,AGO,1973," 6,323,000 "," 1,912 ", 0.84 , 40.43 ,0
Subsaharan Africa,Angola,AGO,1974," 6,475,000 "," 1,874 ", 0.84 , 42.78 ,0
Subsaharan Africa,Angola,AGO,1975," 6,638,000 "," 1,857 ", 0.83 , 42.75 ,0
Subsaharan Africa,Angola,AGO,1976," 6,809,000 "," 1,887 ", 0.84 , 41.98 ,0
Subsaharan Africa,Angola,AGO,1977," 6,990,000 "," 1,950 ", 0.86 , 37.51 ,0
Subsaharan Africa,Angola,AGO,1978," 7,184,000 "," 1,990 ", 0.86 , 36.34 ,0
Subsaharan Africa,Angola,AGO,1979," 7,399,000 "," 1,966 ", 0.86 , 36.28 ,0
Subsaharan Africa,Angola,AGO,1980," 7,637,000 "," 1,966 ", 0.87 , 34.81 ,0
Subsaharan Africa,Angola,AGO,1981," 7,902,000 "," 1,886 ", 0.87 , 36.86 ,0
Subsaharan Africa,Angola,AGO,1982," 8,190,000 "," 1,760 ", 0.88 , 39.69 ,0
